time,size,iters
0.593232328128579,256,500
0.3849605031733816,16384,500
0.3838422388309226,32768,500
0.5296046914224917,512,500
0.4304342851497722,1024,500
0.421613669921328,2048,500
0.3795073994155018,4096,500
0.3950294284660316,8192,500
0.3686763515702296,256,500
0.3829372612305093,16384,500
0.38540381036389354,32768,500
0.3738189570299255,512,500
0.37523918945225887,1024,500
0.37924089453156284,2048,500
0.40375437255946167,4096,500
0.389622424561864,8192,500
0.6079496718598421,256,500
0.38197217248558957,16384,500
0.3850105347291688,32768,500
0.5362051171857729,512,500
0.4853353476619304,1024,500
0.4079147382824999,2048,500
0.37685969043010914,4096,500
0.38760276684612904,8192,500
0.3702591093315277,256,500
0.38239977685528004,16384,500
0.3877481782228465,32768,500
0.5472247187299217,512,500
0.4760637050793548,1024,500
0.4264600839789523,2048,500
0.37710031982385317,4096,500
0.3881166953121351,8192,500
0.6484217812499082,256,500
0.3815727948000003,16384,500
0.3890515922244652,32768,500
0.5528983124918341,512,500
0.463217423828155,1024,500
0.4036845654340482,2048,500
0.39844935595567677,4096,500
0.37781012182591667,8192,500
0.572494539028412,256,500
0.38138112561014736,16384,500
0.38468301995830956,32768,500
0.375072140627708,512,500
0.37440603124139216,1024,500
0.3781827665960691,2048,500
0.37895863281178777,4096,500
0.3787513454582836,8192,500
0.3699638047010012,256,500
0.39175476489283767,16384,500
0.38557526550286875,32768,500
0.3737858593808596,512,500
0.3763636620988109,1024,500
0.37691679785467613,2048,500
0.37817589257826967,4096,500
0.3767778688974488,8192,500
0.3665380546635788,256,500
0.382201294555351,16384,500
0.38822872180199747,32768,500
0.37192324609236493,512,500
0.38463532226273855,1024,500
0.3794445781295508,2048,500
0.4102738066400491,4096,500
0.37774375829968676,8192,500
0.3897867734394822,256,500
0.3825988071284314,16384,500
0.3872191625973187,32768,500
0.5529615429793466,512,500
0.4799968593687254,1024,500
0.3853017460926367,2048,500
0.37774931787026844,4096,500
0.38298563964822563,8192,500
0.5178420859692778,256,500
0.3822528865971009,16384,500
0.38586262207029876,32768,500
0.5285425859256065,512,500
0.4452553378939683,1024,500
0.42832830859396154,2048,500
0.4097181855478027,4096,500
0.3762632846679992,8192,500
0.5505327733885679,256,500
0.38394116430673364,16384,500
0.38402909191903584,32768,500
0.3729597422079678,512,500
0.37420279882383056,1024,500
0.4233603974626021,2048,500
0.39198310302879236,4096,500
0.39023092163148476,8192,500
0.5649181250078072,256,500
0.39066175598190256,16384,500
0.3855616792605155,32768,500
0.4758563046891595,512,500
0.4402822910236637,1024,500
0.41189508691275023,2048,500
0.3993386513663211,4096,500
0.3783111162114494,8192,500
