size, iter, time, chksum
4096,5000,147535104,-532353.375000
8192,5000,274681856,301176.562500
16384,5000,1006407936,714165.125000
32768,5000,1697331968,566290.125000
65536,5000,2816054016,976609.312500
131072,5000,5187645952,1006459.437500
2048,1000,13995008,6050.392578
4096,1000,25774848,-112788.875000
8192,1000,54803200,60571.039062
16384,1000,170897152,209355.453125
32768,1000,244833024,227435.656250
65536,1000,784972032,372006.031250
131072,1000,1165075968,194906.421875
2048,2000,26424064,10524.224609
4096,2000,56300032,-217678.781250
8192,2000,108747008,120724.578125
16384,2000,362372864,335568.937500
32768,2000,646258944,312161.500000
65536,2000,1187489024,523159.031250
131072,2000,2676631040,397802.437500
2048,3000,41465088,14996.587891
4096,3000,85901056,-322570.750000
8192,3000,170173952,180875.546875
16384,3000,553868032,461775.187500
32768,3000,1030903040,396881.937500
65536,3000,2120811008,674301.000000
131072,3000,3383760128,600680.125000
2048,4000,53558016,19467.660156
4096,4000,106305024,-427464.562500
8192,4000,217430784,241027.218750
16384,4000,476581120,587967.625000
32768,4000,1033326080,481595.312500
65536,4000,2295977984,825454.500000
131072,4000,4549007104,803580.500000
2048,5000,70537984,23942.226562
4096,5000,139060992,-532353.375000
8192,5000,275104000,301176.562500
16384,5000,812243200,714165.125000
32768,5000,1756592128,566290.125000
65536,5000,2748886016,976609.312500
131072,5000,5841630976,1006459.437500
2048,1000,12375808,6050.392578
4096,1000,30425088,-112788.875000
8192,1000,53224960,60571.039062
16384,1000,136925952,209355.453125
32768,1000,323799040,227435.656250
65536,1000,574598912,372006.031250
131072,1000,1175774976,194906.421875
2048,2000,31802112,10524.224609
4096,2000,51008000,-217678.781250
8192,2000,115862016,120724.578125
16384,2000,375345920,335568.937500
32768,2000,759657984,312161.500000
65536,2000,1485836800,523159.031250
131072,2000,2393588992,397802.437500
2048,3000,39739904,14996.587891
4096,3000,83236096,-322570.750000
8192,3000,165690112,180875.546875
16384,3000,519545088,461775.187500
32768,3000,780860160,396881.937500
65536,3000,2183250176,674301.000000
131072,3000,3422697216,600680.125000
2048,4000,52352000,19467.660156
4096,4000,112229888,-427464.562500
8192,4000,214301952,241027.218750
16384,4000,705497856,587967.625000
32768,4000,995617024,481595.312500
65536,4000,2249524992,825454.500000
131072,4000,5704480768,803580.500000
2048,5000,68230144,23942.226562
4096,5000,137848064,-532353.375000
8192,5000,282040064,301176.562500
16384,5000,903156992,714165.125000
32768,5000,1703535872,566290.125000
65536,5000,3584910848,976609.312500
131072,5000,6606803968,1006459.437500
2048,1000,12290048,6050.392578
4096,1000,29920768,-112788.875000
8192,1000,53226240,60571.039062
16384,1000,204129024,209355.453125
32768,1000,255190016,227435.656250
65536,1000,657282048,372006.031250
131072,1000,1613723904,194906.421875
2048,2000,24467968,10524.224609
4096,2000,55095040,-217678.781250
8192,2000,112606208,120724.578125
16384,2000,344054016,335568.937500
32768,2000,740068096,312161.500000
65536,2000,1530267904,523159.031250
131072,2000,2229625856,397802.437500
2048,3000,36615168,14996.587891
4096,3000,84100096,-322570.750000
8192,3000,165075968,180875.546875
16384,3000,554944000,461775.187500
32768,3000,1114308096,396881.937500
65536,3000,2034156032,674301.000000
131072,3000,3399319040,600680.125000
2048,4000,52218112,19467.660156
4096,4000,105708032,-427464.562500
8192,4000,217660160,241027.218750
16384,4000,704409088,587967.625000
32768,4000,1272080128,481595.312500
65536,4000,2144930048,825454.500000
131072,4000,4624965120,803580.500000
2048,5000,68445184,23942.226562
4096,5000,137741056,-532353.375000
8192,5000,269063936,301176.562500
16384,5000,786082048,714165.125000
32768,5000,1826501120,566290.125000
65536,5000,3379122944,976609.312500
131072,5000,6757944832,1006459.437500
