size, iter, time, chksum
2048,1000,15963904,6050.392578
4096,1000,40375040,-112788.875000
8192,1000,68721920,60571.039062
16384,1000,225530880,209355.453125
32768,1000,354551040,227435.656250
65536,1000,490833920,372006.031250
131072,1000,1040130048,194906.421875
2048,2000,28616960,10524.224609
4096,2000,56414208,-217678.781250
8192,2000,111214080,120724.578125
16384,2000,378573824,335568.937500
32768,2000,549284864,312161.500000
65536,2000,1268644864,523159.031250
131072,2000,2318433024,397802.437500
2048,3000,41518848,14996.587891
4096,3000,78629888,-322570.750000
8192,3000,161797120,180875.546875
16384,3000,489125888,461775.187500
32768,3000,990512128,396881.937500
65536,3000,2101757952,674301.000000
131072,3000,3287702016,600680.125000
2048,4000,55851008,19467.660156
4096,4000,107683072,-427464.562500
8192,4000,231011072,241027.218750
16384,4000,622556928,587967.625000
32768,4000,951703040,481595.312500
65536,4000,2318948096,825454.500000
131072,4000,4486462208,803580.500000
2048,5000,67578880,23942.226562
4096,5000,143355136,-532353.375000
8192,5000,286194944,301176.562500
16384,5000,794028032,714165.125000
32768,5000,1636364032,566290.125000
65536,5000,2470795008,976609.312500
131072,5000,6759843072,1006459.437500
2048,1000,12296192,6050.392578
4096,1000,31561216,-112788.875000
8192,1000,53178880,60571.039062
16384,1000,182221824,209355.453125
32768,1000,396293888,227435.656250
65536,1000,742925824,372006.031250
131072,1000,1494165760,194906.421875
2048,2000,27326976,10524.224609
4096,2000,56240896,-217678.781250
8192,2000,103908864,120724.578125
16384,2000,354622976,335568.937500
32768,2000,551848960,312161.500000
65536,2000,1010793984,523159.031250
131072,2000,3304093952,397802.437500
2048,3000,39377920,14996.587891
4096,3000,80542976,-322570.750000
8192,3000,163552000,180875.546875
16384,3000,534169088,461775.187500
32768,3000,873793024,396881.937500
65536,3000,2020630016,674301.000000
131072,3000,4253752064,600680.125000
2048,4000,81298944,19467.660156
4096,4000,133659904,-427464.562500
8192,4000,265959936,241027.218750
16384,4000,694157056,587967.625000
32768,4000,1499267072,481595.312500
65536,4000,3156741888,825454.500000
131072,4000,4892578048,803580.500000
2048,5000,69885952,23942.226562
