size, iter, time, chksum
16384,1000,166504192,209359.694271
32768,1000,375225088,227435.792847
65536,1000,802779904,372004.559717
131072,1000,1274195968,194903.432779
2048,2000,28888064,10523.099551
4096,2000,52834048,-217678.275212
8192,2000,205246976,120720.877295
16384,2000,412521984,335575.125324
32768,2000,503237888,312152.197152
65536,2000,1471484928,523137.533740
131072,2000,2596849920,397797.746125
2048,3000,43195904,14995.368535
4096,3000,86526208,-322568.243385
8192,3000,258422016,180869.622981
16384,3000,523891968,461790.556378
32768,3000,1238915072,396868.601458
65536,3000,1747060992,674270.507762
131072,3000,3462524928,600692.059470
2048,4000,57966080,19467.637519
4096,4000,118693120,-427458.211558
8192,4000,219255808,241018.368667
16384,4000,493680128,588005.987431
32768,4000,1095037952,481585.005763
65536,4000,2445573888,825403.481785
131072,4000,4710650880,803586.372815
2048,5000,71891200,23939.906503
4096,5000,157995008,-532348.179731
8192,5000,444497152,301167.114352
16384,5000,813939968,714221.418484
32768,5000,1409652224,566301.410068
65536,5000,3434072064,976536.455807
131072,5000,6427875072,1006480.686160
2048,1000,13658880,6050.830567
4096,1000,27397120,-112788.307039
8192,1000,51674880,60572.131609
16384,1000,183302912,209359.694271
32768,1000,280518912,227435.792847
65536,1000,652652800,372004.559717
131072,1000,1178075904,194903.432779
2048,2000,27782912,10523.099551
4096,2000,58373120,-217678.275212
8192,2000,178365184,120720.877295
16384,2000,393550080,335575.125324
32768,2000,652732928,312152.197152
65536,2000,1331323136,523137.533740
131072,2000,2655087104,397797.746125
2048,3000,43453952,14995.368535
4096,3000,92206080,-322568.243385
8192,3000,236491008,180869.622981
16384,3000,548310784,461790.556378
32768,3000,892286976,396868.601458
65536,3000,2141169152,674270.507762
131072,3000,3903973888,600692.059470
2048,4000,58279936,19467.637519
4096,4000,119861760,-427458.211558
8192,4000,374772992,241018.368667
16384,4000,489810176,588005.987431
32768,4000,1301285120,481585.005763
65536,4000,2469652992,825403.481785
131072,4000,5669833984,803586.372815
2048,5000,70038016,23939.906503
4096,5000,144745984,-532348.179731
8192,5000,343525888,301167.114352
16384,5000,822422016,714221.418484
32768,5000,1578980096,566301.410068
65536,5000,3665456896,976536.455807
131072,5000,6908516096,1006480.686160
2048,1000,16338176,6050.830567
4096,1000,29662976,-112788.307039
8192,1000,55161088,60572.131609
16384,1000,163246848,209359.694271
32768,1000,418395904,227435.792847
65536,1000,726311936,372004.559717
131072,1000,1363060992,194903.432779
2048,2000,29147136,10523.099551
4096,2000,55482880,-217678.275212
8192,2000,192624896,120720.877295
16384,2000,244976896,335575.125324
32768,2000,745591040,312152.197152
65536,2000,1093553152,523137.533740
131072,2000,2711777792,397797.746125
2048,3000,45978112,14995.368535
4096,3000,87086080,-322568.243385
8192,3000,206834944,180869.622981
16384,3000,408194048,461790.556378
32768,3000,1134398976,396868.601458
65536,3000,2285544960,674270.507762
131072,3000,4460980992,600692.059470
2048,4000,57858048,19467.637519
4096,4000,134703104,-427458.211558
8192,4000,383053056,241018.368667
16384,4000,528487168,588005.987431
32768,4000,1141773056,481585.005763
65536,4000,2368006144,825403.481785
131072,4000,5370726144,803586.372815
2048,5000,72944128,23939.906503
4096,5000,140173056,-532348.179731
8192,5000,330162176,301167.114352
16384,5000,862001152,714221.418484
32768,5000,1655758080,566301.410068
65536,5000,5078875136,976536.455807
131072,5000,6753324032,1006480.686160
