size, iter, time, chksum
2048,1000,20762112,6050.392578
4096,1000,39123968,-112788.875000
8192,1000,60104960,60571.039062
16384,1000,163944960,209355.453125
32768,1000,315486976,227435.656250
65536,1000,655444992,372006.031250
131072,1000,1052961024,194906.421875
2048,2000,27273984,10524.224609
4096,2000,57805056,-217678.781250
8192,2000,111476992,120724.578125
16384,2000,369413888,335568.937500
32768,2000,659458048,312161.500000
65536,2000,1222011136,523159.031250
131072,2000,2716338176,397802.437500
2048,3000,41350912,14996.587891
4096,3000,76662016,-322570.750000
8192,3000,165842944,180875.546875
16384,3000,575409920,461775.187500
32768,3000,1068727040,396881.937500
65536,3000,2012704000,674301.000000
131072,3000,3735658240,600680.125000
2048,4000,54167040,19467.660156
4096,4000,117420800,-427464.562500
8192,4000,255598848,241027.218750
16384,4000,419297024,587967.625000
32768,4000,1417104896,481595.312500
65536,4000,3339070976,825454.500000
131072,4000,4682238976,803580.500000
2048,5000,62302976,23942.226562
4096,5000,136238080,-532353.375000
8192,5000,292706048,301176.562500
16384,5000,836187904,714165.125000
32768,5000,1868623104,566290.125000
65536,5000,3096674048,976609.312500
131072,5000,5584806144,1006459.437500
2048,1000,12252928,6050.392578
4096,1000,27316992,-112788.875000
8192,1000,56561920,60571.039062
16384,1000,142035968,209355.453125
32768,1000,326932992,227435.656250
65536,1000,875960832,372006.031250
131072,1000,1183880192,194906.421875
2048,2000,33128960,10524.224609
4096,2000,61158912,-217678.781250
8192,2000,112998912,120724.578125
16384,2000,340920064,335568.937500
32768,2000,562615040,312161.500000
65536,2000,1053849088,523159.031250
131072,2000,3063081984,397802.437500
2048,3000,42942976,14996.587891
4096,3000,82536960,-322570.750000
8192,3000,171160064,180875.546875
16384,3000,465844224,461775.187500
32768,3000,1057561088,396881.937500
65536,3000,1428135936,674301.000000
131072,3000,3966745856,600680.125000
2048,4000,55608832,19467.660156
4096,4000,111596800,-427464.562500
8192,4000,224923904,241027.218750
16384,4000,427869952,587967.625000
32768,4000,956377856,481595.312500
65536,4000,2320974080,825454.500000
131072,4000,4769832960,803580.500000
2048,5000,66979072,23942.226562
4096,5000,140630016,-532353.375000
8192,5000,275684096,301176.562500
16384,5000,777250048,714165.125000
32768,5000,1613547008,566290.125000
65536,5000,3572813056,976609.312500
131072,5000,6850008064,1006459.437500
2048,1000,16083968,6050.392578
4096,1000,25805824,-112788.875000
8192,1000,49638912,60571.039062
16384,1000,160000000,209355.453125
32768,1000,326003968,227435.656250
65536,1000,601231104,372006.031250
131072,1000,1303171072,194906.421875
2048,2000,26932992,10524.224609
4096,2000,61555968,-217678.781250
8192,2000,116135168,120724.578125
16384,2000,345587200,335568.937500
32768,2000,536256768,312161.500000
65536,2000,1360556032,523159.031250
131072,2000,2283181056,397802.437500
2048,3000,45985024,14996.587891
4096,3000,88300032,-322570.750000
8192,3000,169742080,180875.546875
16384,3000,490120192,461775.187500
32768,3000,811220992,396881.937500
65536,3000,2098212096,674301.000000
131072,3000,3849107968,600680.125000
2048,4000,64168960,19467.660156
4096,4000,109527040,-427464.562500
8192,4000,223127040,241027.218750
16384,4000,640036864,587967.625000
32768,4000,993033984,481595.312500
65536,4000,2095418112,825454.500000
131072,4000,5960376064,803580.500000
2048,5000,64760832,23942.226562
4096,5000,140006144,-532353.375000
8192,5000,275906048,301176.562500
16384,5000,898024960,714165.125000
32768,5000,1872628992,566290.125000
65536,5000,3971929088,976609.312500
131072,5000,5849776128,1006459.437500
2048,1000,12749056,6050.392578
4096,1000,29031168,-112788.875000
8192,1000,54139904,60571.039062
16384,1000,183744000,209355.453125
32768,1000,232204032,227435.656250
65536,1000,712102144,372006.031250
131072,1000,1335031040,194906.421875
2048,2000,28546048,10524.224609
4096,2000,67746048,-217678.781250
8192,2000,112817920,120724.578125
16384,2000,309782016,335568.937500
32768,2000,733415168,312161.500000
65536,2000,1695182080,523159.031250
131072,2000,2582312960,397802.437500
2048,3000,38803968,14996.587891
4096,3000,83450112,-322570.750000
8192,3000,165829888,180875.546875
16384,3000,560051200,461775.187500
32768,3000,866466048,396881.937500
65536,3000,1575802112,674301.000000
131072,3000,3925271040,600680.125000
2048,4000,56397824,19467.660156
4096,4000,115188992,-427464.562500
8192,4000,230276096,241027.218750
16384,4000,464494080,587967.625000
32768,4000,1082643968,481595.312500
65536,4000,2062073856,825454.500000
131072,4000,4974738176,803580.500000
2048,5000,76182016,23942.226562
4096,5000,138681088,-532353.375000
8192,5000,273639936,301176.562500
16384,5000,891044864,714165.125000
32768,5000,1267009024,566290.125000
65536,5000,4402024192,976609.312500
131072,5000,6005517056,1006459.437500
2048,1000,15044864,6050.392578
4096,1000,27802112,-112788.875000
8192,1000,52858880,60571.039062
16384,1000,187443968,209355.453125
32768,1000,246450176,227435.656250
65536,1000,798437120,372006.031250
131072,1000,1234662912,194906.421875
2048,2000,24925952,10524.224609
4096,2000,53498112,-217678.781250
8192,2000,113230848,120724.578125
16384,2000,351641088,335568.937500
32768,2000,489139968,312161.500000
65536,2000,1120668160,523159.031250
131072,2000,2348664064,397802.437500
2048,3000,40201216,14996.587891
4096,3000,82449920,-322570.750000
8192,3000,162667008,180875.546875
16384,3000,447275008,461775.187500
32768,3000,1057585920,396881.937500
65536,3000,2471289088,674301.000000
131072,3000,3158575104,600680.125000
2048,4000,51411200,19467.660156
4096,4000,113053952,-427464.562500
8192,4000,213254912,241027.218750
16384,4000,501679104,587967.625000
32768,4000,1294814976,481595.312500
65536,4000,2553686016,825454.500000
131072,4000,5489142016,803580.500000
2048,5000,67162112,23942.226562
4096,5000,133117952,-532353.375000
8192,5000,272606976,301176.562500
16384,5000,972358912,714165.125000
32768,5000,1821368064,566290.125000
65536,5000,2772414976,976609.312500
131072,5000,5944323072,1006459.437500
