size, iter, time, chksum
16384,5000,864305152,714165.125000
32768,5000,1663026176,566290.125000
65536,5000,4054801920,976609.312500
131072,5000,7641848832,1006459.437500
2048,1000,14935808,6050.392578
4096,1000,27469056,-112788.875000
8192,1000,57020160,60571.039062
16384,1000,162846976,209355.453125
32768,1000,260544000,227435.656250
65536,1000,741404160,372006.031250
131072,1000,1354722048,194906.421875
2048,2000,28163072,10524.224609
4096,2000,54525184,-217678.781250
8192,2000,107766016,120724.578125
16384,2000,352497152,335568.937500
32768,2000,665702144,312161.500000
65536,2000,1097327872,523159.031250
131072,2000,2235749888,397802.437500
2048,3000,36907008,14996.587891
4096,3000,81697024,-322570.750000
8192,3000,162759168,180875.546875
16384,3000,527395072,461775.187500
32768,3000,749078016,396881.937500
65536,3000,2538695936,674301.000000
131072,3000,3516653056,600680.125000
2048,4000,55563776,19467.660156
4096,4000,108811008,-427464.562500
8192,4000,218944768,241027.218750
16384,4000,635526912,587967.625000
32768,4000,1059332096,481595.312500
65536,4000,3235387904,825454.500000
131072,4000,4921467904,803580.500000
2048,5000,71512064,23942.226562
4096,5000,179708928,-532353.375000
8192,5000,330541056,301176.562500
16384,5000,605252864,714165.125000
32768,5000,1285105152,566290.125000
65536,5000,4394366976,976609.312500
131072,5000,6856809984,1006459.437500
