size, iter, time, chksum
2048,1000,15938048,6050.392578
4096,1000,38169088,-112788.875000
8192,1000,77630976,60571.039062
16384,1000,228691968,209355.453125
32768,1000,359250944,227435.656250
65536,1000,780492032,372006.031250
131072,1000,1327444992,194906.421875
2048,2000,28007936,10524.224609
4096,2000,61832192,-217678.781250
8192,2000,108860928,120724.578125
16384,2000,383676160,335568.937500
32768,2000,701392896,312161.500000
65536,2000,1237341184,523159.031250
131072,2000,2708581888,397802.437500
2048,3000,39821056,14996.587891
4096,3000,80059136,-322570.750000
8192,3000,170055936,180875.546875
16384,3000,471394048,461775.187500
32768,3000,705543936,396881.937500
65536,3000,1818478080,674301.000000
131072,3000,3537359872,600680.125000
2048,4000,55414016,19467.660156
4096,4000,112659200,-427464.562500
8192,4000,224291840,241027.218750
16384,4000,665708032,587967.625000
32768,4000,1382886144,481595.312500
65536,4000,2565445888,825454.500000
131072,4000,6185239040,803580.500000
2048,5000,70892032,23942.226562
4096,5000,139322112,-532353.375000
8192,5000,247223808,301176.562500
16384,5000,867863040,714165.125000
32768,5000,1456269056,566290.125000
65536,5000,4248966912,976609.312500
131072,5000,6315565056,1006459.437500
2048,1000,13231104,6050.392578
4096,1000,27667200,-112788.875000
8192,1000,55478016,60571.039062
16384,1000,158685952,209355.453125
32768,1000,316898048,227435.656250
65536,1000,536520960,372006.031250
131072,1000,1567511040,194906.421875
2048,2000,29369088,10524.224609
4096,2000,59093760,-217678.781250
8192,2000,112171008,120724.578125
16384,2000,467119104,335568.937500
32768,2000,525534976,312161.500000
65536,2000,1298459136,523159.031250
131072,2000,2099993088,397802.437500
2048,3000,41871104,14996.587891
4096,3000,77987840,-322570.750000
8192,3000,168093952,180875.546875
16384,3000,550145792,461775.187500
32768,3000,715894016,396881.937500
65536,3000,1762468864,674301.000000
131072,3000,4170424832,600680.125000
2048,4000,53110016,19467.660156
4096,4000,113414144,-427464.562500
8192,4000,222158080,241027.218750
16384,4000,683706880,587967.625000
32768,4000,982905088,481595.312500
65536,4000,2467026944,825454.500000
131072,4000,5627678208,803580.500000
2048,5000,68868096,23942.226562
4096,5000,143439872,-532353.375000
8192,5000,278416896,301176.562500
16384,5000,931052032,714165.125000
32768,5000,1839031040,566290.125000
65536,5000,3310891008,976609.312500
131072,5000,6897132032,1006459.437500
2048,1000,14763008,6050.392578
4096,1000,27977984,-112788.875000
8192,1000,59486976,60571.039062
16384,1000,166829056,209355.453125
32768,1000,299142144,227435.656250
65536,1000,570129920,372006.031250
131072,1000,1266372096,194906.421875
2048,2000,26021888,10524.224609
4096,2000,50986240,-217678.781250
8192,2000,116792064,120724.578125
16384,2000,378052864,335568.937500
32768,2000,733201920,312161.500000
65536,2000,1753168896,523159.031250
131072,2000,2106104064,397802.437500
2048,3000,39418112,14996.587891
4096,3000,88269056,-322570.750000
8192,3000,145470208,180875.546875
16384,3000,509214976,461775.187500
32768,3000,1076137984,396881.937500
65536,3000,2060830976,674301.000000
131072,3000,3947382016,600680.125000
2048,4000,56355840,19467.660156
4096,4000,111986176,-427464.562500
8192,4000,231670016,241027.218750
16384,4000,449676032,587967.625000
32768,4000,1567988992,481595.312500
65536,4000,2625593088,825454.500000
131072,4000,6752820992,803580.500000
2048,5000,68948992,23942.226562
4096,5000,145088000,-532353.375000
8192,5000,281809920,301176.562500
16384,5000,951456000,714165.125000
32768,5000,1650892032,566290.125000
65536,5000,3382679040,976609.312500
131072,5000,6031799040,1006459.437500
2048,1000,12600832,6050.392578
4096,1000,25806080,-112788.875000
8192,1000,48825088,60571.039062
16384,1000,102713088,209355.453125
32768,1000,281491968,227435.656250
65536,1000,526109952,372006.031250
131072,1000,1182188032,194906.421875
2048,2000,27514112,10524.224609
4096,2000,53912832,-217678.781250
8192,2000,113093120,120724.578125
16384,2000,340742912,335568.937500
32768,2000,730510080,312161.500000
65536,2000,1237679872,523159.031250
131072,2000,2197108992,397802.437500
2048,3000,42887936,14996.587891
4096,3000,90011904,-322570.750000
8192,3000,172674048,180875.546875
16384,3000,512473088,461775.187500
32768,3000,1120084224,396881.937500
65536,3000,1926460928,674301.000000
131072,3000,3498657024,600680.125000
2048,4000,53877248,19467.660156
4096,4000,109646080,-427464.562500
8192,4000,223900928,241027.218750
16384,4000,730738944,587967.625000
32768,4000,1038279168,481595.312500
65536,4000,2902429952,825454.500000
131072,4000,6048470016,803580.500000
2048,5000,66898944,23942.226562
4096,5000,137724928,-532353.375000
8192,5000,285750784,301176.562500
16384,5000,862575104,714165.125000
32768,5000,1284960000,566290.125000
65536,5000,3051088128,976609.312500
131072,5000,7202880000,1006459.437500
2048,1000,12559872,6050.392578
4096,1000,26749952,-112788.875000
8192,1000,56697856,60571.039062
16384,1000,130032128,209355.453125
32768,1000,317530112,227435.656250
65536,1000,635275008,372006.031250
131072,1000,1620387072,194906.421875
2048,2000,26209024,10524.224609
4096,2000,58754816,-217678.781250
8192,2000,131416832,120724.578125
16384,2000,231343872,335568.937500
32768,2000,530909952,312161.500000
65536,2000,1514167040,523159.031250
131072,2000,2122477824,397802.437500
2048,3000,44190976,14996.587891
4096,3000,84196864,-322570.750000
8192,3000,168675840,180875.546875
16384,3000,547112192,461775.187500
32768,3000,1017893888,396881.937500
65536,3000,1834298880,674301.000000
131072,3000,3530897920,600680.125000
2048,4000,53794816,19467.660156
4096,4000,113651968,-427464.562500
8192,4000,222436096,241027.218750
16384,4000,760111104,587967.625000
32768,4000,1296418048,481595.312500
65536,4000,3101071104,825454.500000
131072,4000,4586596864,803580.500000
2048,5000,68634112,23942.226562
4096,5000,138801152,-532353.375000
8192,5000,282082048,301176.562500
16384,5000,850427136,714165.125000
32768,5000,1751178240,566290.125000
65536,5000,3330289920,976609.312500
131072,5000,7565437952,1006459.437500
